label,BRCA1,BRCA2,TP53,PIK3CA,CDH1,PTEN,AKT1,MYC,CCND1,ERBB2,ESR1,PGR,MKI67,KRAS,EGFR,VEGFA,MMP9,CDKN2A,STAT3,JAK2
Cancer,-1.573,-1.3198,-0.3888,0.476,1.8803,-1.1216,-0.5681,-1.7087,-1.8531,1.9915,-2.8803,-2.3898,-1.6688,-0.5048,1.3523,1.9811,-2.4745,1.0471,1.0293,0.6562
Cancer,-0.9272,-0.6795,-0.7618,0.428,2.5641,1.2749,-0.1821,-0.4166,2.029,1.3715,3.5905,2.9015,-1.9798,-0.6062,0.0194,-1.9693,-1.1065,0.1787,0.9888,1.0807
Cancer,-1.1264,-1.1105,0.1907,1.1382,-0.6144,1.1404,0.2052,-0.9326,1.6483,2.3184,4.2678,2.6937,-0.5362,0.6037,-1.0613,-2.1992,-5.0928,1.2906,1.4617,0.363
Cancer,-1.0419,-1.2482,0.5188,-0.112,1.213,0.9363,-0.3414,-0.2942,0.4525,2.7861,2.7864,3.7665,-2.4755,-0.4847,-0.979,-0.8678,-3.4502,0.8393,1.6641,-0.264
Cancer,-2.0399,-2.3242,-0.4227,0.4975,0.3458,1.3916,-0.7602,-0.7837,-0.9986,2.9339,2.0728,1.9798,-4.28,-0.237,-1.0797,-1.8445,1.063,1.5303,1.0103,0.7445
Cancer,-1.6406,-1.2357,0.3233,0.613,2.9772,1.0859,0.4715,-0.8688,-0.3728,2.1022,1.6945,-0.2285,-2.0458,0.6167,-0.5002,-2.0846,-2.0978,1.1567,1.3453,-0.288
Cancer,-0.966,-0.852,-0.5703,0.4262,1.4427,2.1985,-0.2054,-1.4836,1.0602,2.4725,4.3737,4.0292,-2.4012,0.2833,-2.4173,-1.1954,-1.2012,0.6667,1.6941,-0.2608
Cancer,-2.0733,-1.813,-0.0662,0.1758,-2.4276,0.8629,-0.8619,-1.4849,0.5228,1.6231,3.9314,3.3542,-2.415,0.4557,-1.3383,-1.1896,-3.8265,0.9295,0.9828,0.4573
Cancer,-0.9451,0.2398,-2.3743,0.0655,0.6735,-1.5804,0.2292,-2.4849,-0.0918,1.8301,-3.901,-2.2727,-1.4495,0.2705,3.0186,-1.2727,2.158,-0.0138,1.1851,-0.7097
Cancer,-0.826,-1.0055,-0.0558,-0.2668,2.8912,0.8487,-0.0408,-1.4822,2.4295,2.6206,5.5503,0.9727,-0.9702,-0.5818,-2.7091,-0.8125,-4.1062,-0.0568,0.6979,-0.0233
